RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,twoP_O,twoP_D,threeP_O,threeP_D,ADJ_T,WAB
147,Towson,CAA,30,18,106.3,104.2,0.5579,48.7,48.7,18.1,15.7,32.4,26.9,34.9,31,46.9,48.5,34.8,32.7,65.1,-6.9
148,Ohio,MAC,30,17,103.6,101.6,0.5558,51.3,49.1,18.7,18.1,26.6,24.8,29.6,32.8,51.3,48.5,34.2,33.3,68,-8.2
149,Georgia Southern,SB,31,20,101.1,99.2,0.5552,50.2,49.5,18.3,20.7,26,28.7,36.2,27.6,51.5,51.9,32.2,30.4,71.7,-6.6
150,Eastern Washington,BSky,29,23,104,102,0.554,52,49.1,17.7,18.5,27.3,27,29.6,33.7,52.2,48,34.4,34.3,73.1,-2
151,Wofford,SC,33,19,104.6,102.8,0.5486,53.5,51.6,17.9,17.8,25,24.5,25.7,31.8,55.4,52.8,34.3,33.3,65.5,-8.1
152,Drake,MVC,32,20,102.7,101,0.5481,51.7,50.1,19.2,17.9,23.5,23.3,30.4,30.5,51.3,46.3,34.9,37.2,67.7,-6.1
153,New Mexico,MWC,32,19,104.3,102.9,0.5397,52.2,52.7,19.5,20,27.9,30.1,37.2,24.4,54.2,53.1,32.6,34.7,71.9,-5.7
154,North Florida,ASun,31,21,112.3,110.8,0.5372,54.6,50.3,17.3,15.8,26.9,31.8,28.6,28.1,52.4,51.3,37.8,31.6,69.4,-4.9
155,Oral Roberts,Sum,27,17,107.5,106.2,0.5359,50.9,51.7,13.8,18.2,29,26.9,28.2,31.7,51.4,52,33.3,34.1,70.2,-7.2
156,Vanderbilt,SEC,32,11,104.6,103.4,0.5332,50.2,52.7,18.4,19.6,25.4,29.4,41.4,36.8,50.3,52.7,33.3,35.1,69.4,-10
157,Delaware,CAA,32,22,106.6,105.4,0.5326,54.4,49.8,18.6,16.7,23.8,26.8,32.3,29,55.4,48,35.2,35.1,68.1,-5.7
158,Bowling Green,MAC,29,21,104.4,103.3,0.5282,47.6,48.9,15.1,16.4,28.1,26.7,28.1,33.5,45.3,48.1,34.3,33.4,70,-3.9
159,Nebraska,B10,32,7,101.4,100.5,0.5281,46.8,51.5,16,18.7,22.3,33,29,21.8,46.3,52.5,31.8,33.3,73,-10.4
160,Austin Peay,OVC,31,21,106.9,105.9,0.5268,51.3,53.1,18.4,20.6,32.9,27.9,37.3,32.5,50.4,52.3,35.3,36.4,67.6,-5.9
161,Southern Illinois,MVC,31,16,98.2,97.3,0.5255,49.5,49.1,19.4,21,20.6,29.9,33.6,25.3,48.3,49.4,34.1,32.4,64,-8.7
162,Charlotte,CUSA,29,16,98.8,98,0.5226,51.6,50.4,20.6,20.3,21.5,23.7,38,27.6,51.9,52.1,34,31.9,65.4,-7
